ASIN,Binding,Brand,Color,Feature,Label,ListPrice,Manufacturer,Model,MPN,PackageDimensions,PackageQuantity,PartNumber,ProductGroup,ProductTypeName,Publisher,Size,Studio,Title,LowestNewPrice,TotalNew,TotalUsed,TotalCollectible,TotalRefurbished,TotalOffers,TotalOfferPages,MoreOffersUrl,Offers_number,min_condition,min_price,max_condition,max_price
B00YJUUF16,Electronics,Adaptors4U,undefined,High Quality 9 Volt In-car replacement car charger suitable for Logik 7" & 9" Portable DVD Player;Package includes 9 Volt Car adaptor with 1.8 Metre Lead and correct tip for above model.;Designed to work with 12 Volt & 24 Volt cigarette lighter sockets - suitable for use in Cars; Vans; Caravans etc.;Replaceable Safety Fuse - LED indicator - IC controlled Regulated Output Voltage,Adaptors4U,[object Object],Adaptors4U,undefined,undefined,undefined,1,undefined,CE,CABLE_OR_ADAPTER,Adaptors4U,undefined,Adaptors4U,9V Logik 7" & 9" Portable DVD Player In Car Charger / Car Adaptor,£3.99,1,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B00YJUUF16?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B00YJUUF16,1,New,£3.99,New,£3.99,
B01M3XIZCS,Electronics,Itian®,undefined,?USB 3.0 Technology. ?Provide maximum data transfer up to 5 Gbps with strong fault tolerance;10X faster than USB 2.0. Backwards compatible with USB 2.0 and USB 1.0.;?Touch Sensor Control.?Touch the button on the upper right corner and the drive will open automatically. A spare eject hole for any emergency.;?Universal Compatibility. ?Work for Window2000/XP/2003/Vista/7;Linux and Mac 10 OS system. Support both laptops and desktops with USB port.;?100% Brand New and High Quality. ?No refurbished drives. No used internal chips.This CD/DVD drive will be very helpful in watching DVD movies; listening CDmusic; copying music; pictures; movies to a CD/DVD; installing software; orcreating backup discs; etc;?Plug and Play. No extra-drive needed. ?Just plug it into the USB port of your computer and it will be detected. Come with two cables; a data cable and a power cable. No worrying about power shortage.,Itian,[object Object],Itian,undefined,undefined,[object Object],1,undefined,CE,CONSUMER_ELECTRONICS,Itian,undefined,Itian,Itian External DVD Drive;USB 3.0 Ultra Slim Touch Control High Speed CD-RW DVD-RW Super Drive Player Writer Burner for Mac / Macbook Pro Air iMac / Laptops / Desktops / Notebooks (Black),£26.99,1,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B01M3XIZCS?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B01M3XIZCS,1,New,£26.99,New,£26.99,
B01N3Q8B9X,Electronics,TOOGOO(R),Black,Condition: New; Perfect Quality.;No Programming Required ! Put batteries in and work !;Manual included (No batteries).;The Samsung TV/DVD Universal Remote Control ( Model No: SM909 ) let you replace a broken or lost remote or combine more than one remote control into one.,TOOGOO(R),[object Object],TOOGOO(R),086317,086317,undefined,1,086317,CE,CONSUMER_ELECTRONICS,TOOGOO(R),undefined,TOOGOO(R),Remote Control for SAMSUNG - TOOGOO(R) NEW SAMSUNG TV DVD-player Universal Remote NO programming Needed,£4.20,2,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B01N3Q8B9X?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B01N3Q8B9X,1,New,£4.20,New,£4.20,
B017TT05CM,Electronics,NAVISKAUTO,Black,Dual Channel Wireless Stereo IR wireless/wired headphone;compatible with any audio devices with built-in IR transmitter or 3.5mm jack;;Perfectly match with Car Audio from the Factory or Aftermarket Video & Audio Devices;dual channels frequencies allow 2 users to enjoy different video/audio without interfering each other;;Clear sound from audio device VIA wireless;no interference from other radio transmission sources;Comes with a 3.5mm Audio cable for connecting Smartphone;laptop;iPad;PC;18-month customer service for guarantee,Sokesi,[object Object],Sokesi,sokesi32,sokesi32,[object Object],undefined,sokesi32,CE,CAR_ELECTRONICS,Sokesi,undefined,Sokesi,NAVISKAUTO Universal Foldable Wireless Headphones with Audio Cable Support IR Dual Channel for Car DVD Player Headrest Android Smartphone Tablet Laptop Notebook iPad (Y0154),£12.99,1,1,0,0,2,1,https://www.amazon.co.uk/gp/offer-listing/B017TT05CM?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B017TT05CM,2,Used,£10.60,New,£12.99,
B00W29VNTY,Electronics,Samsung,silver,BD Zone A/B/C DVD Region 012345678 PAL/NTSC;100-240V 50/60Hz - Built-in Wi-FI - 2D/3D - Plays CDs; DVDs & Blu Ray Discs;MPEG-2; MPEG-4; JPEG; DivX HD; AVCHD; MKV; WMV DivX XviD AVi MKV all the codecs and ultra fast loading;Built in Wi-Fi and LAN Access streaming content like Amazon Video; Youtube; Hulu and more with the Samsung BD-J5900 Blu-ray Disc Player.;Plays 2D/3D Blu-ray Regions: A; B and C Plays All-Region DVDs: Region 1; 2; 3; 4; 5; 6; 7; 8; 9. 0 PAL/NTSC Plays PAL and NTSC Region DVDs; BDs and Music CDs.,Samsung,[object Object],Samsung,undefined,undefined,[object Object],1,undefined,CE,CONSUMER_ELECTRONICS,Samsung,undefined,Samsung,SAMSUNG BD-J5900 NEW CURVED DESIGN - 2D/3D - Built-in WI-FI - Multi Zone A/B/C & Region Code Free DVD 012345678 PAL/NTSC Blu Ray Player. Divx MP4 AVI MKV. 100~240V 50/60Hz (Free HDMi Cable),£149.99,4,1,0,0,2,1,https://www.amazon.co.uk/gp/offer-listing/B00W29VNTY?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B00W29VNTY,2,Used,£134.97,New,£149.99,
B00XN1NTOW,Electronics,DURAGADGET,Purple,Stylish and durable carry-case will keep your expensive portable DVD player free from damage;Lightweight; water-resistant and durable neoprene helps against splashes; spills and wear;Tough; dual steel rimmed zip closures keep your case secure from damaging agents and dust;Crafted from ultra-portable neoprene; finished in a royal purple with contrasting white detailing for style on the go!;This product comes with a 2 year warranty and our simple no quibble returns policy,DURAGADGET,[object Object],DURAGADGET,undefined,undefined,undefined,1,undefined,CE,AUDIO_OR_VIDEO,DURAGADGET,undefined,DURAGADGET,Portable DVD Player Carry Case for Sony DVP-FX980; DVP-FX875; DVP-FX820; DVP-FX780; DVP-FX730; DVP-FX720 & Sony 7-inch Screen Player – Exclusive DURAGADGET Lightweight & Water Resistant Neoprene Case / Cover / Sleeve with Dual Zip in Purple,£4.49,1,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B00XN1NTOW?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B00XN1NTOW,1,New,£12.99,New,£12.99,
B071NGKDBZ,Electronics,121AV,undefined,This remote control will work for Samsung DVD-E360/XU;Includes two 121AV AAA Zinc Chloride Batteries,121AV,[object Object],121AV,DVD-E360/XU_260417_1118,AK59-00156A,undefined,1,AK59-00156A,CE,REMOTE_CONTROL,121AV,undefined,121AV,Remote Control for Samsung DVD-E360/XU Entry DVD Player - With Two 121AV AAA Batteries Included,£14.95,1,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B071NGKDBZ?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B071NGKDBZ,1,New,£14.95,New,£14.95,
B00P2982YK,Electronics,Voyager,Black,Premium brushed finish; Multifunction remote control; Inbuilt rechargeable battery pack with over 1.5 hours playback; swivel screen clamshell DVD player. Clear high quality 9" screen.;Multiregion DVD player and USB media playback. Plays audio; video and photo files directly from USB stick; Supports USB sticks (up to 16Gb); DVD; DVD-R; DVD+R; DVD-RW; DVD+RW; CD; CD-R; JPEG; MPEG2 and MP3 compatible.;3.5mm headphone jack socket; AV Out Socket for connection to TV etc (Cable sold separately);Inbuilt rechargeable battery pack with over 1.5 hours playback; 100-240V AC mains for home use;12 month warranty for your peace of mind,Voyager,[object Object],Voyager,VYCDVD9-BLK,VYCDVD9-BLK,[object Object],1,VYCDVD9-BLK,Network Media Player,PORTABLE_AV_DEVICE,Voyager,9",Voyager,Voyager 9 inch Swivel Screen Portable DVD Player with Internal Battery and USB Playback (9" Screen; Black),£49.95,3,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B00P2982YK?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B00P2982YK,1,New,£99.95,New,£99.95,
B00I2PFG0E,Electronics,Philips,undefined,Portable,Philips,[object Object],Philips,PD7001B/05,PD7001B/05,[object Object],1,PD7001B/05,Network Media Player,PORTABLE_AV_DEVICE,Philips,undefined,Philips,Philips Portable DVD Player PD7001B - portable DVD(Battery; DC; LCD; 50/60; 480 x 234 pixels; 32 - 320 Kbit/s; MP3),£89.98,3,2,0,0,2,1,https://www.amazon.co.uk/gp/offer-listing/B00I2PFG0E?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B00I2PFG0E,2,Used,£37.35,New,£89.98,
B00E8GWTVU,Electronics,DURAGADGET,Purple,Provides maximum protection from dust; scratches; splashes and other damaging agents;Water resistant to help protect against splashes and spills;Purple protective case against dust; scratches; splashes and other damaging agents;Lightweight; water resistant material protects against splashes and spills whilst being light to carry around;Suitable to absorb day to day wear and tear whilst in transit,DURAGADGET,[object Object],DURAGADGET,5052400582933,5052400582933,[object Object],1,5052400582933,CE,MEDIA_STORAGE,DURAGADGET,undefined,DURAGADGET,DURAGADGET Bright Purple "Travel" Water-Resistant Neoprene Sleeve With Double Zipper For NEW 9.8" TFT Portable DVD EVD CD Player; Xoro BD1000 10.1" Portable Blu-Ray Player; Bush Portable DVD Player 10 inch Widescreen,£6.49,1,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B00E8GWTVU?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B00E8GWTVU,1,New,£14.99,New,£14.99,
B06WGRXJ4R,Electronics,Acnacy,black,1. HDMI male to 5 RCA audio video AV cable; 24K gold-plated connectors; better signal transmission. Transfer Digital Video signals at warp speed of 5 Gbps per second.;2. 24K gold-plated connectors; better signal transmission;designed for all HDMI standards; Mainly used in digital high-definition TV; plasma TV; LCD TV; rear projection TVs; projectors; DVD and Many More HDMI output devices with docoder;3. High Definition Video Output HDMI Male to 5 RCA RGB Audio Video AV Cable;4. Ideal for connecting HD Player to TV. Support all HDMI 1.0 - 1.3 all Version. Support 480i / 480p / 720p / 1080i / 1080p resolution. 3 outputs(Red; Green; Blue): Component cable. The other white and yellow output are Audio cable.;5. Note:the end of the cable into the HD player HDMI output port; the other end of the Component input port to the TV.do not support computer HDMI to HDTY. It works as a signal transmitter; not a signal converter. Please make sure both input and output devices are off when plug and unplug this cable.,Acnacy,[object Object],Acnacy,undefined,undefined,[object Object],1,undefined,CE,CABLE_OR_ADAPTER,Acnacy,1.5 Meters,Acnacy,HDMI to RCA Cable; 5Ft 1.5M 19 Pin HDMI Type A Male to 5RCA Male Plug Video Audio AV Component Converter Adapter Cable For HDTV DVD and Most LCD Projectors (black),£9.99,1,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B06WGRXJ4R?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B06WGRXJ4R,1,New,£9.99,New,£9.99,
B01G1M3XJK,Electronics,CIpotZIZ,White,External cd/dvd player and cd burner;High quality products; using at ease;With Slim; Light-weight and Shockproof Design; you can put it in the travelling bag or on your desk;really very convenient for your life;Compact USB 2.0 superdriver;you can play any CDs or DVDs at anytime; but it only can burn CD-RW ;not DVD-RW;Package content:1x External Drive;1x USB Data Cable;1x USB Power Cable.Note:CD Driver not included in the package.This drive can't support USB hub and front usb connector;please plug 2 cables attached in the package into back usb connector of laptop directly;No need to install driver with CD driver; Plug and Play; Work with Both Laptop & Desktop. Support Mac Windows98/ SE /ME / 2000 / XP / Vista/Win 7/Win 8/Win 10 Notebook;PC;Desktop;for Dell; for Acer; for Sony;for HP etc,CIpotZIZ,[object Object],CIpotZIZ,ZIZ-ED010-WT,ZIZ-ED010-WT10,[object Object],1,ZIZ-ED010-WT10,Personal Computer,COMPUTER_DRIVE_OR_STORAGE,CIpotZIZ,undefined,CIpotZIZ,White Slim USB 2.0 External DVD Combo CD-RW Burner Drive For Mac; Windows 98/SE/ME/2000/XP/Vista/Win 7/Win 8/Win 10 Notebook PC Desktop;Plug and Play;No other Driver required,£10.99,1,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B01G1M3XJK?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B01G1M3XJK,1,New,£10.99,New,£10.99,
B00B3I3LUO,Electronics,CDL Micro,undefined,Supplied in a storage case;Plays music while it cleans;Suitable for use on both CD / DVD players & game consoles,CDL Micro,[object Object],CDL Micro,undefined,undefined,[object Object],1,undefined,Personal Computer,COMPUTER_COMPONENT,CDL Micro,undefined,CDL Micro,CD DVD BluRay PC Laptop Computer Drive ROM Laser Lens Cleaning Cleaner Disc,£3.89,3,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B00B3I3LUO?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B00B3I3LUO,1,New,£3.89,New,£3.89,
B01HHZBEC8,Electronics,YOSUN-UK,Black,Work with Sony BD Blu-Ray DVD Player BDP-BX39 BDP-BX110 BDP-BX310 BDP-BX510 BDP-S390 BDP-S390WM BDP-S590 BDP-S590WM BDP-S1100 BDP-S3100 BDP-S3100/BF BDP-S5100 BDP-S5100/BM BDPBX39 BDPBX110 BDPBX310 BDPBX510 BDPS390 BDPS390WM BDPS590 BDPS590WM BDPS1100 BDPS3100 BDPS3100BF BDPS5100 BDPS5100BM BDP-BX59 BDPBX59 BDP-XX510 BDPXX510 BDP-S590 BDP-BX110 BDP-S1100 BDP-S3100 BDP-BX310 BDP-BX510 BDP-S5100 BDP-BX510 BDP-S5100 BDP-BX38 BDB-BX58 BDP-S280 BDP-S380 BDP-S480 BDP-S580;Package contain: 1 remote control (batteries and instruction are not included);60 days warranty and excellent return service;Free shipping via E-packet (10 business days); Expedited service available;We will feedback to you within 12 hours via Amazon Mail System if you have any inquiry,YOSUN-UK,[object Object],YOSUN-UK,undefined,undefined,[object Object],1,undefined,CE,REMOTE_CONTROL,YOSUN-UK,undefined,YOSUN-UK,YOSUN-UK New Replaced Remote Control RMT-B119A for Sony BD Blu-Ray DVD Player,£9.99,2,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B01HHZBEC8?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B01HHZBEC8,1,New,£9.99,New,£9.99,
B071CJT5S9,undefined,DDAUTO,DD1336B,Full Aluminum frame stylish and sturdy design with slot load anti-skip mechanism drive;13.3 inch 1920*1080 IPS full view screen monitor upgraded video system for car;Built in HDMI; AV input/output; IR/FM transmitter; supports DVD; CD; USB 2.0; SD card;Supports positive and negative door control;Great for vans; trucks; SUVs; and other vehicles. Requires some DIY ability but easy to install,DDAUTO,[object Object],DDAUTO,DD1336B,DD1336B,[object Object],1,DD1336B,Automotive Parts and Accessories,AUTO_ACCESSORY,DDAUTO,undefined,DDAUTO,DDAUTO DD1336B Overhead DVD Player 1080P HD Flip Down Multimedia Player for Car with Built-in USB SD HDMI Games Double Dome LED Lights 13.3 Inch,£155.99,1,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B071CJT5S9?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B071CJT5S9,1,New,£155.99,New,£155.99,
B00RWKNIFK,Electronics,TFY,Black,Works well with 7 inch - 10 inch Swivel Screen Portable DVD Player;Adjustable strap allows for easy; quick and secure mounting to car headrest;Accomodates Swivel Screen Portable DVD Players.;Constructed from long-wearing and stain resistant elasticated Velcro with metal clips to hold your portable device securely in place;Very neat and elegant design,TFY,[object Object],TFY,5DVD_BLK_X2,5DVD_BLK_X2,[object Object],2,5DVD_BLK_X2,CE,WIRELESS_ACCESSORY,TFY,undefined,TFY,TFY Car Headrest Mount Holder for 7 inch - 10 inch Swivel Screen Portable DVD Player,£26.50,2,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B00RWKNIFK?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B00RWKNIFK,1,New,£26.50,New,£26.50,
B01HMSE84Q,Electronics,GOOD LEAD,undefined,This is a high capacity 9 Volt 2000ma (2 Amp) adapter for the above mentioned item. All of our branded adapters come with Ferrite/Choke Beads as standard which stop interference with electronic devices.;This is a quality GOOD-LEAD branded power supply adapter for the device listed in the title. All our chargers feature Short Circuit; Over Voltage & Over Current Protection.;Our products are CE/FCC/RoHS certified; they are tested by our manufacturers to match and/or exceed specifications of OEM products. The GOOD-LEAD Promise.;SHIPPING: All orders placed before 2pm will be shipped the same day via 1st class post aiming for next day delivery.;WARRANTY: GOOD-LEAD offers a 30 Days Money Back Guarantee / 1 Year Warranty - Free Exchange. Please contact us with any questions or concerns - we are here to help!,Polaroid,[object Object],Polaroid,undefined,Polaroid PDVD 193C,undefined,1,Polaroid PDVD 193C,CE,CONSUMER_ELECTRONICS,Polaroid,undefined,Polaroid,GOOD LEAD 9V Polaroid PDVD 193C Portable dvd player 240v AC DC Power Supply unit UK SELLER,£9.99,1,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B01HMSE84Q?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B01HMSE84Q,1,New,£9.99,New,£9.99,
B00I8J3ME6,Accessory,Disney,undefined,Perfect for storing and protecting equipment like 10" PC tablet; iPad and additionally E-Reader (e.g. 10" Kindle);Made of nylon;Velcro straps protects the equipment against moving;Main compartment is padded with special material that protects the equipment against shocks;Spacious front pocket for cables; headphones and other accessories,Disney,[object Object],Disney,DYDBFA1,DYDBFA1,[object Object],1,DYDBFA1,CE,ACCESSORY_OR_PART_OR_SUPPLY,Disney,undefined,Disney,Disney Fairies Bag for tablet PC; iPad; E-Reader,£14.10,1,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B00I8J3ME6?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B00I8J3ME6,1,New,£14.10,New,£14.10,
B00SHB2JTY,Electronics,DURAGADGET,Pink,Stylish and durable pink carry-case will keep your expensive dvd player free from damage;Protect your valuable new device from dust and scratches with this fashionable; lightweight & practical sleeve;Strong dual zip closure keeps your gadget safe and allows for easy access;Made from water-resistant; durable neoprene (please note that this is water-resistant; not waterproof) to help protect against splashes and spills;Also available in blue and purple!,DURAGADGET,[object Object],DURAGADGET,5054019793762,5054019793762,undefined,1,5054019793762,CE,MEDIA_STORAGE,DURAGADGET,undefined,DURAGADGET,DURAGADGET Logik L10SPDV13 10" Inch Portable DVD Player - Neoprene Water Resistant Portable Sleeve / Case for Logik L10SPDV13,£5.99,1,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B00SHB2JTY?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B00SHB2JTY,1,New,£10.99,New,£10.99,
B00R2NSPWS,Electronics,Pumpkin,undefined,Universal Car Radio: Please compare the dimension; shape of this unit with your car before purchasing it. (Check the 6th picture for reference);Latest Wince 6.0 system with 800MHz CPU for more stable and faster performance.;Screen Size: 6.2-Inch Digital Resistive Touchscreen; OS: Wince 6.0; CPU: Mstar2531 ARN Cortex-A7 800MHz; RAM: 256MB; Audio output: 4*45W max; Screen Resolution: 800*480; Image Brightness/Contrast/Color Adjustable;Function: GPS Navigation (with map card); DVD drive (Region Free); Bluetooth for hands free; Steering Wheel Control; AM/FM RDS enabled; Built in USB Port/SD Slot.;Package Content: 1x Car DVD player; 1x GPS Antenna; 1x USB Cable; 1x Steering Wheel Control Wire; 1x Plastic Frame (188x117mm); 1x Power Cable; 1x External Microphone (2m); 1x 8GB Card (in GPS card slot) (If you needs the iron cage; please contact us freely or search B00VUGBF52 in our store.),Shenzhen Paqi Electronics Technology Co;Ltd,[object Object],Shenzhen Paqi Electronics Technology Co;Ltd,LM-W0244,LM-W0244,[object Object],1,LM-W0244,GPS or Navigation System,GPS_OR_NAVIGATION_SYSTEM,Shenzhen Paqi Electronics Technology Co;Ltd,Car Stereo with GPS,Shenzhen Paqi Electronics Technology Co;Ltd,Pumpkin Car Stereo GPS Sat Navi with DVD CD Player Support Radio/SWC/Bluetooth/SD USB/Subwoofer/AUX (GPS card included),£149.99,1,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B00R2NSPWS?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B00R2NSPWS,1,New,£259.99,New,£259.99,
B071Y3RZNQ,Electronics,WZMIRAI,Black,New 10.1'' HD 1024*600 TFT LCD Screen (lens for sony) with touch buttons; support 1080P videos. Display Mode: 16:9 ;removable 36mm ultra-thin body.;HDMI function:can work as a monitor when connect to your computer; mobile phone; raspberry pi ;kindle fire etc via HDMI port(HDMI cable is not include).;Built-in 2.0 USB port/SD/MMC card slot;HDMI;AV in/out;FM/IR Transmitter function;comes with 32 bits game disc;expand your entertainment options;If you buy 2 of them; the headrests can play the same games/movies when you connect them together by AV input and output cable; otherwise they will work separately;Easy to install and remove; can be both used in car or your home.comes with breakpoints memory function.12-month customer service for guarantee.,WZMIRAI,[object Object],WZMIRAI,wz-DVD2,wz-DVD2,[object Object],undefined,wz-DVD2,CE,CAR_ELECTRONICS,WZMIRAI,WZ1018,WZMIRAI,WZMIRAI A 10.1 Inch High-definition TFT LCD Digital Screen Car Portable Ultra Thin Headrest Multimedia DVD Player Mobile Headrest Monitor with HDMI Port and Remote Control,£79.99,1,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B071Y3RZNQ?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B071Y3RZNQ,1,New,£129.99,New,£129.99,
B01LY8TB4J,Electronics,Honstek,undefined,The cable allows you to share an Internet connection among multiple devices without the need of separate Ethernet cable.;Meet HDMI 2.0 standards (4K Video at 60 Hz; 2160p; 48 bit/px color depth) that supports bandwidth up to 18Gbps and backwards compatible with earlier versions.;The HDMI A-to-A/Male-to-Male Cable support Ethernet; 3D; 4K Video and Audio Return Channel (ARC).;It is suitable for HDTV; LCD; Plasma/3D/LED/Apple TV; Home Theaters/Cinema; Sky/Virgin HD; Freesat; Dream Box; Set top Box; PS3/PS4; Xbox 360; Nintendo Wii U; HD DVD player; Blu Ray; Projector; Digital cameras and camcorders; Laptop; PC; Tivo; Vizio; Sony and more.;Backed by Amazon 30-day money back policy; 6 months replacement and 12 months compensation warranty.,Honstek,[object Object],Honstek,HD04,HD04,[object Object],1,HD04,CE,CABLE_OR_ADAPTER,Honstek,3m/10 feet,Honstek,Honstek HD04 High-Speed HDMI Cable for Xbox One/360; PS3/PS4; DVD Blu-ray Players; HD TV/Projector; Fire/Apple/Smart TV Box; Desktops; Laptops; PC; Computers; A/V Receivers and other HDMI-enabled Devices (3m/10 feet),£5.50,2,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B01LY8TB4J?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B01LY8TB4J,1,New,£10.99,New,£10.99,
B00SHB2JTY,Electronics,DURAGADGET,Pink,Stylish and durable pink carry-case will keep your expensive dvd player free from damage;Protect your valuable new device from dust and scratches with this fashionable; lightweight & practical sleeve;Strong dual zip closure keeps your gadget safe and allows for easy access;Made from water-resistant; durable neoprene (please note that this is water-resistant; not waterproof) to help protect against splashes and spills;Also available in blue and purple!,DURAGADGET,[object Object],DURAGADGET,5054019793762,5054019793762,undefined,1,5054019793762,CE,MEDIA_STORAGE,DURAGADGET,undefined,DURAGADGET,DURAGADGET Logik L10SPDV13 10" Inch Portable DVD Player - Neoprene Water Resistant Portable Sleeve / Case for Logik L10SPDV13,£5.99,1,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B00SHB2JTY?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B00SHB2JTY,1,New,£10.99,New,£10.99,
B01M9FDH0V,Electronics,Samsung,Black,This Certified Refurbished product is tested and inspected to look and work like-new; with limited to no signs of wear. The product comes with relevant accessories and a minimum one-year warranty.;Supports a wide range of video; image and audio formats; Watch videos in high definition on your TV;Access content from your external storage device,Samsung,[object Object],Samsung,BDJ4500R#CR,BDJ4500R#CR,[object Object],undefined,BDJ4500R#CR,CE,AUDIO_OR_VIDEO,Samsung,undefined,Samsung,Samsung BD-J4500R Blu-Ray and DVD Player - Black (Certified Refurbished),£39.99,1,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B01M9FDH0V?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B01M9FDH0V,1,New,£39.99,New,£39.99,
B00DCX6BOQ,Electronics,DURAGADGET,Black,The DURAGADGET headrest support for portable DVD players is the ideal solution for 'backseat entertainment'; It fits in most cars (except Volvo) and compatible with most players up to 10'' (screen size);The slide and tilt function allows for the perfect viewing angle (reduce sun reflection in your screen);Universal via adjustable arms to ensure a perfect fit for portable DVD players; Quick release to easily place or remove portable DVD player ;;Cable connections and control buttons easily accessible;Adjustable sides from 19cm to 27cm( to up 10.5 inches); sprung loaded width adjustment from 2cm to 4;5cm; and height from 10cm to 27cm;,DURAGADGET,[object Object],DURAGADGET,5052400567183,5052400567183,[object Object],1,5052400567183,CE,MEDIA_STORAGE,DURAGADGET,undefined,DURAGADGET,DURAGADGET Adjustable Holder For Portable DVD players 'Up to 10 Inches' Accessible W/ Sony DVP-FX820; Philips PD9000/37 & Pyle Home PDH7 7-Inch Portable TFT/LCD Monitor with Built-In DVD Player,£12.99,1,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B00DCX6BOQ?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B00DCX6BOQ,1,New,£20.49,New,£20.49,
